Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"5,000,000 EGP",180.0,3.0,2 bathroom,4.0,2015.0,Broker,Main Street,Cash,El Mahmoudya Road,Basic,5000000.0,27777.78
"4,508,000 EGP",98.0,2.0,1 bathroom,1.0,2026.0,Broker,Side Street,Installments,Unknown,Basic,4508000.0,46000.0
"3,465,000 EGP",63.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,A Luxury Resort,Basic,3465000.0,55000.0
"6,300,000 EGP",130.0,2.0,2 bathroom,12.0,2020.0,Broker,Other,Cash,شارع مصدق,Basic,6300000.0,48461.54
"3,186,000 EGP",59.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,Unknown,Basic,3186000.0,54000.0
"3,465,000 EGP",63.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,Unknown,Basic,3465000.0,55000.0
"9,000,000 EGP",250.0,4.0,4 bathroom,1.0,1990.0,Broker,Other,Cash,مناطق فرعية بالمهندسين,Basic,9000000.0,36000.0
"3,000,000 EGP",211.0,2.0,2 bathroom,,2025.0,Broker,Side Street,Cash,New Narges,Basic,3000000.0,14218.01
"6,285,000 EGP",115.0,2.0,2 bathroom,2.0,2028.0,Broker,Main Street,Cash or Installments,Rovan Views Compound,"View, Finished",6285000.0,54652.17
"5,194,000 EGP",106.0,2.0,2 bathroom,2.0,2029.0,Broker,Main Street,Cash or Installments,Rovan City,Finished,5194000.0,49000.0
"4,561,700 EGP",55.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,4561700.0,82940.0
"10,500,000 EGP",229.0,3.0,3 bathroom,1.0,2025.0,Broker,Garden,Cash,Street 1,Basic,10500000.0,45851.53
"5,308,160 EGP",64.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,5308160.0,82940.0
"5,639,920 EGP",68.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,5639920.0,82940.0
"5,750,000 EGP",145.0,3.0,3 bathroom,4.0,2025.0,Broker,Garden,Cash,Mountain View Icity,View,5750000.0,39655.17
"3,400,000 EGP",178.0,3.0,2 bathroom,1.0,2026.0,Broker,Main Street,Cash or Installments,بيت الوطن,Basic,3400000.0,19101.12
"4,250,000 EGP",190.0,3.0,2 bathroom,,,EG-6603122,Main Street,Cash,Unknown,Basic,4250000.0,22368.42
"5,527,800 EGP",111.0,2.0,2 bathroom,2.0,2029.0,Broker,Main Street,Cash or Installments,Coy Compound,Super Lux,5527800.0,49800.0
"750,000 EGP",110.0,2.0,1 bathroom,5.0,1998.0,Private Owner,Side Street,Cash,Kafr Tohormos Rd,Basic,750000.0,6818.18
"4,028,000 EGP",76.0,2.0,1 bathroom,1.0,2025.0,Broker,Sea View,Installments,قلب الأحياء موقع,Basic,4028000.0,53000.0
"7,000,000 EGP",200.0,3.0,3 bathroom,2.0,1992.0,Broker,Side Street,Cash,Unknown,Basic,7000000.0,35000.0
"4,573,800 EGP",154.0,3.0,3 bathroom,3.0,2029.0,Developer,Pool,Installments,Darvell Residence Compound,Basic,4573800.0,29700.0
"7,500,000 EGP",160.0,3.0,2 bathroom,16.0,2015.0,Broker,Main Street,Cash,Unknown,Sea,7500000.0,46875.0
"2,944,000 EGP",61.0,1.0,1 bathroom,1.0,2026.0,Broker,Side Street,Installments,Unknown,Basic,2944000.0,48262.3
"5,718,000 EGP",119.0,2.0,2 bathroom,2.0,2027.0,Broker,Main Street,Cash or Installments,Bahja Residence,Basic,5718000.0,48050.42
"4,800,000 EGP",185.0,3.0,3 bathroom,6.0,2025.0,Broker,Garden,Cash,Oia New Capital,Installment,4800000.0,25945.95
"6,341,720 EGP",85.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Basic,6341720.0,74608.47
