Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"9,000,000 EGP",280.0,4.0,3 bathroom,2.0,2025.0,Developer,Side Street,Cash,Amin El Khouly,Basic,9000000.0,32142.86
"2,650,000 EGP",122.0,3.0,1 bathroom,11.0,2024.0,Developer,Main Street,Cash or Installments,Sudan St,Basic,2650000.0,21721.31
"6,500,000 EGP",222.0,4.0,3 bathroom,4.0,2025.0,Developer,Corner,Cash or Installments,New Lotus,Basic,6500000.0,29279.28
"2,800,000 EGP",135.0,2.0,2 bathroom,2.0,2025.0,Broker,Other,Cash,ابو الهول 3,Basic,2800000.0,20740.74
"3,800,000 EGP",130.0,3.0,2 bathroom,1.0,2025.0,Broker,Garden,Cash,Dar Misr Al,Basic,3800000.0,29230.77
"9,302,000 EGP",176.0,3.0,2 bathroom,3.0,2028.0,Broker,Main Street,Cash or Installments,The Icon Gardens,"Garden, Finished",9302000.0,52852.27
"5,700,000 EGP",250.0,3.0,3 bathroom,2.0,2025.0,Broker,Garden,Installments,المستثمر الصغير,Basic,5700000.0,22800.0
"4,200,000 EGP",133.0,3.0,1 bathroom,1.0,2025.0,Broker,Garden,Cash,اللوتس الجنوبيه,Basic,4200000.0,31578.95
"4,800,000 EGP",180.0,3.0,3 bathroom,3.0,2025.0,Broker,Main Street,Cash,El Andalus 1,Basic,4800000.0,26666.67
"3,000,000 EGP",160.0,3.0,2 bathroom,3.0,2020.0,Developer,Side Street,Cash,Unknown,تشطيب,3000000.0,18750.0
"4,000,000 EGP",172.0,3.0,3 bathroom,,2027.0,Broker,Garden,Cash or Installments,Unknown,Finished,4000000.0,23255.81
"5,639,920 EGP",68.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,"View, Pool",5639920.0,82940.0
"4,173,629 EGP",73.0,1.0,1 bathroom,2.0,2028.0,Broker,Pool,Installments,Unknown,Basic,4173629.0,57173.0
"3,135,000 EGP",57.0,1.0,1 bathroom,2.0,2028.0,Broker,Pool,Installments,Unknown,Basic,3135000.0,55000.0
"5,000,000 EGP",117.0,2.0,1 bathroom,4.0,2024.0,Broker,Garden,Cash or Installments,Taj City,Basic,5000000.0,42735.04
"12,000,000 EGP",161.0,3.0,3 bathroom,8.0,2024.0,Broker,Garden,Installments,زد تاور,Basic,12000000.0,74534.16
"5,474,040 EGP",66.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,5474040.0,82940.0
"7,500,000 EGP",207.0,3.0,4 bathroom,1.0,2025.0,Broker,Garden,Installments,كمبوند كابيتال جاردنز,Basic,7500000.0,36231.88
"11,000,000 EGP",135.0,2.0,2 bathroom,2.0,2022.0,Broker,Garden,Cash,كمبوند أيون,Basic,11000000.0,81481.48
"6,310,948 EGP",156.0,3.0,3 bathroom,1.0,2025.0,Broker,Main Street,Cash or Installments,Unknown,Basic,6310948.0,40454.79
"14,660,000 EGP",168.0,3.0,3 bathroom,8.0,2024.0,Broker,Garden,Installments,زد تاور,Basic,14660000.0,87261.9
"3,062,400 EGP",58.0,1.0,1 bathroom,2.0,2028.0,Broker,Sea View,Installments,Magawish,Basic,3062400.0,52800.0
"3,258,861 EGP",57.0,1.0,1 bathroom,2.0,2028.0,Broker,Pool,Installments,Unknown,View,3258861.0,57173.0
"6,200,000 EGP",167.0,3.0,3 bathroom,2.0,2025.0,Broker,Lake,Cash,The Square,Finished,6200000.0,37125.75
"2,400,000 EGP",137.0,3.0,2 bathroom,5.0,2023.0,Broker,Other,Cash,Other Neighborhoods In,Basic,2400000.0,17518.25
"2,700,000 EGP",50.0,1.0,1 bathroom,1.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,2700000.0,54000.0
"6,200,000 EGP",166.0,3.0,3 bathroom,1.0,2025.0,Broker,Main Street,Cash or Installments,Unknown,Basic,6200000.0,37349.4
"7,540,000 EGP",169.0,3.0,3 bathroom,3.0,2024.0,Broker,Main Street,Cash,Taj City,Basic,7540000.0,44615.38
"8,300,000 EGP",140.0,3.0,3 bathroom,2.0,2026.0,Broker,Garden,Installments,West View Residence,"View, Super Lux",8300000.0,59285.71
"3,590,000 EGP",103.0,2.0,1 bathroom,,2025.0,Broker,Garden,Cash,Unknown,"Garden, Finished",3590000.0,34854.37
"8,500,000 EGP",260.0,3.0,3 bathroom,3.0,2025.0,Broker,Other,Cash,Heliopolis Omar Ibn,Finished,8500000.0,32692.31
"9,500,000 EGP",147.0,3.0,2 bathroom,2.0,2025.0,Broker,Main Street,Cash,Al Marasem.,Finished,9500000.0,64625.85
"7,000,000 EGP",197.0,4.0,3 bathroom,,2025.0,Broker,Main Street,Cash,Waslet Dahshur Rd,Basic,7000000.0,35532.99
"4,720,000 EGP",160.0,3.0,2 bathroom,6.0,2028.0,Broker,Main Street,Cash or Installments,Zahraa El Maadi,Basic,4720000.0,29500.0
"7,300,000 EGP",130.0,3.0,2 bathroom,2.0,2026.0,Broker,Garden,Installments,West View Residence,"View, Super Lux",7300000.0,56153.85
"1,669,000 EGP",145.0,3.0,1 bathroom,9.0,2013.0,Broker,Side Street,Cash,Faisal,Super Lux,1669000.0,11510.34
"9,900,000 EGP",180.0,3.0,2 bathroom,8.0,2023.0,Broker,Main Street,Installments,Abd El,Basic,9900000.0,55000.0
"3,500,000 EGP",115.0,2.0,2 bathroom,3.0,2029.0,Broker,Other,Cash or Installments,R8,Finished,3500000.0,30434.78
"7,278,000 EGP",140.0,3.0,2 bathroom,,2025.0,Broker,Garden,Cash or Installments,Unknown,Finished,7278000.0,51985.71
"4,950,000 EGP",96.0,2.0,1 bathroom,4.0,2025.0,Broker,Club,Cash,Unknown,تشطيب,4950000.0,51562.5
"6,336,000 EGP",198.0,3.0,3 bathroom,2.0,2028.0,Broker,Pool,Cash or Installments,Unknown,Basic,6336000.0,32000.0
"4,878,000 EGP",197.0,3.0,3 bathroom,,2025.0,Broker,Other,Installments,Unknown,Basic,4878000.0,24761.42
"9,444,000 EGP",129.0,2.0,2 bathroom,7.0,2029.0,Broker,Main Street,Cash or Installments,Unknown,Basic,9444000.0,73209.3
"4,420,000 EGP",160.0,3.0,2 bathroom,2.0,2027.0,Broker,Pool,Cash or Installments,The Icon Compound,Basic,4420000.0,27625.0
"3,318,000 EGP",158.0,3.0,3 bathroom,2.0,2029.0,Broker,Main Street,Cash or Installments,Mukhabarat Land,Basic,3318000.0,21000.0
"2,850,000 EGP",50.0,1.0,1 bathroom,4.0,2027.0,Broker,Pool,Installments,قلب الكوثر,Basic,2850000.0,57000.0
"4,342,000 EGP",167.0,3.0,3 bathroom,1.0,2026.0,Developer,Garden,Installments,جنوب طريق السويس,Basic,4342000.0,26000.0
"3,300,000 EGP",140.0,3.0,2 bathroom,4.0,2025.0,Broker,Main Street,Cash,Unknown,تشطيب,3300000.0,23571.43
"3,450,000 EGP",75.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,Unknown,Basic,3450000.0,46000.0
"7,000,000 EGP",145.0,3.0,3 bathroom,2.0,2029.0,Broker,Garden,Installments,Lugar Compound,Basic,7000000.0,48275.86
"14,000,000 EGP",270.0,3.0,3 bathroom,4.0,2025.0,Broker,Garden,Cash,مدينتي,Basic,14000000.0,51851.85
"2,952,000 EGP",123.0,3.0,3 bathroom,2.0,2027.0,Broker,Plaza,Cash or Installments,كمبوند ادريس هوم,Basic,2952000.0,24000.0
"6,000,000 EGP",115.0,2.0,2 bathroom,1.0,2029.0,Broker,Garden,Installments,Unknown,تقسيط,6000000.0,52173.91
"1,270,000 EGP",155.0,3.0,3 bathroom,3.0,2025.0,Broker,Side Street,Cash or Installments,King Faisal St,Basic,1270000.0,8193.55
"4,500,000 EGP",100.0,2.0,1 bathroom,2.0,2002.0,Broker,Back,Cash,حدائق المهندسين,Basic,4500000.0,45000.0
"4,433,000 EGP",125.0,2.0,2 bathroom,3.0,2030.0,Broker,Main Street,Installments,5Th Settlement In,Garden,4433000.0,35464.0
"3,987,040 EGP",62.0,1.0,1 bathroom,1.0,2027.0,Broker,Main Street,Cash,بادية بالم هيلز,Basic,3987040.0,64307.1
"7,067,250 EGP",128.0,3.0,2 bathroom,3.0,2028.0,Broker,Garden,Cash or Installments,Street 9,Basic,7067250.0,55212.89
"4,350,000 EGP",100.0,2.0,1 bathroom,3.0,2025.0,Broker,Garden,Cash,الشيخ زايد –,تشطيب,4350000.0,43500.0
"2,750,000 EGP",55.0,1.0,1 bathroom,1.0,2028.0,Broker,Pool,Cash or Installments,Unknown,Basic,2750000.0,50000.0
"4,419,800 EGP",82.0,1.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Unknown,Basic,4419800.0,53900.0
"2,300,000 EGP",130.0,3.0,2 bathroom,7.0,2007.0,Broker,Main Street,Cash,Mohamed Naguib,Sea,2300000.0,17692.31
"6,212,800 EGP",107.0,2.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Magawish,Basic,6212800.0,58063.55
"5,500,000 EGP",200.0,3.0,2 bathroom,3.0,2025.0,Broker,Main Street,Cash,مناطق فرعية بالحي,Basic,5500000.0,27500.0
"3,200,000 EGP",125.0,2.0,2 bathroom,8.0,2014.0,Broker,Back,Cash,Unknown,,3200000.0,25600.0
"98,380,000 EGP",158.0,2.0,3 bathroom,5.0,2023.0,Broker,Garden,Cash,بالم هيلز، القاهرة,Basic,98380000.0,622658.23
"3,800,000 EGP",150.0,3.0,2 bathroom,,2025.0,Broker,Corner,Cash,Tiba Gardens Compound,Garden,3800000.0,25333.33
"7,600,000 EGP",107.0,3.0,2 bathroom,3.0,2028.0,Broker,Other,Cash,Unknown,Basic,7600000.0,71028.04
"3,250,000 EGP",171.0,3.0,3 bathroom,1.0,2025.0,Broker,Main Street,Cash,Unknown,تشطيب,3250000.0,19005.85
"9,488,052 EGP",152.0,3.0,2 bathroom,3.0,2027.0,Broker,Main Street,Cash,بادية بالم هيلز,Basic,9488052.0,62421.39
"4,256,000 EGP",133.0,3.0,3 bathroom,2.0,2028.0,Broker,Main Street,Cash or Installments,Front Of Zewail,Basic,4256000.0,32000.0
"6,700,000 EGP",186.0,4.0,3 bathroom,2.0,2028.0,Broker,Main Street,Installments,طريق الواحات,Basic,6700000.0,36021.51
"3,340,000 EGP",167.0,3.0,1 bathroom,8.0,2002.0,Private Owner,Main Street,Cash,Unknown,Basic,3340000.0,20000.0
"1,250,000 EGP",155.0,3.0,3 bathroom,6.0,2025.0,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1250000.0,8064.52
"5,088,000 EGP",77.0,2.0,1 bathroom,,2024.0,Broker,Main Street,Cash,Madinaty,Basic,5088000.0,66077.92
"5,500,000 EGP",185.0,3.0,2 bathroom,1.0,2024.0,Broker,Side Street,Cash,المجاوره الحاديه عشر,Basic,5500000.0,29729.73
"3,318,000 EGP",158.0,3.0,3 bathroom,3.0,2028.0,Broker,Main Street,Cash or Installments,Mukhabarat Land,Basic,3318000.0,21000.0
"6,300,000 EGP",106.0,2.0,2 bathroom,2.0,2028.0,Broker,Main Street,Installments,Belva Compound,Basic,6300000.0,59433.96
"3,062,400 EGP",58.0,1.0,1 bathroom,2.0,2028.0,Broker,Pool,Installments,Unknown,Basic,3062400.0,52800.0
"6,740,000 EGP",82.0,1.0,1 bathroom,2.0,2029.0,Broker,Main Street,Installments,Cairo,Basic,6740000.0,82195.12
"7,100,000 EGP",150.0,3.0,2 bathroom,1.0,2020.0,Broker,Main Street,Cash,التسعين الجنوبي –,Basic,7100000.0,47333.33
"5,767,300 EGP",107.0,2.0,1 bathroom,1.0,2028.0,Broker,Sea View,Installments,Unknown,Basic,5767300.0,53900.0
"3,016,000 EGP",58.0,1.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Unknown,Sea,3016000.0,52000.0
"6,054,400 EGP",104.0,2.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Unknown,Basic,6054400.0,58215.38
"9,700,000 EGP",115.0,2.0,2 bathroom,2.0,2029.0,Broker,Main Street,Installments,Cairo,Basic,9700000.0,84347.83
"9,100,000 EGP",113.0,2.0,2 bathroom,3.0,2029.0,Broker,Main Street,Installments,كمبوند ذا رذيدنس,Basic,9100000.0,80530.97
"7,798,180 EGP",89.0,2.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,7798180.0,87620.0
"3,190,000 EGP",58.0,2.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Unknown,Basic,3190000.0,55000.0
"7,582,200 EGP",246.0,4.0,4 bathroom,5.0,2029.0,Broker,Main Street,Cash or Installments,The Brooks Compound,Cash,7582200.0,30821.95
"4,500,000 EGP",195.0,3.0,2 bathroom,2.0,2015.0,Broker,Main Street,Cash,معادي هايتس,Basic,4500000.0,23076.92
"2,700,000 EGP",120.0,2.0,2 bathroom,3.0,2024.0,Broker,Other,Cash,Other Neighborhoods In,Basic,2700000.0,22500.0
"3,600,000 EGP",67.0,1.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Magawish,Basic,3600000.0,53731.34
"3,445,200 EGP",116.0,3.0,2 bathroom,2.0,2028.0,Broker,Main Street,Installments,Darvell Residence Compound,Basic,3445200.0,29700.0
"15,500,000 EGP",175.0,2.0,3 bathroom,2.0,2025.0,Broker,Garden,Cash,Unknown,Finished,15500000.0,88571.43
"2,200,000 EGP",75.0,3.0,2 bathroom,,2020.0,Broker,Other,Cash,Other Neighborhoods In,Basic,2200000.0,29333.33
"3,420,000 EGP",170.0,3.0,3 bathroom,1.0,2028.0,Broker,Main Street,Cash or Installments,أكتوبر الجديدة,Basic,3420000.0,20117.65
"4,947,604 EGP",179.0,3.0,3 bathroom,2.0,2027.0,Broker,Main Street,Installments,Ojayd Reflect Compound,Basic,4947604.0,27640.25
"4,200,000 EGP",190.0,3.0,2 bathroom,3.0,2015.0,Broker,Main Street,Cash,Grand City Compound,Finished,4200000.0,22105.26
"14,660,000 EGP",168.0,3.0,3 bathroom,8.0,2025.0,Broker,Garden,Cash or Installments,Unknown,Basic,14660000.0,87261.9
"2,998,600 EGP",58.0,1.0,1 bathroom,1.0,2028.0,Broker,Pool,Installments,Unknown,View,2998600.0,51700.0
"2,998,600 EGP",58.0,1.0,1 bathroom,1.0,2028.0,Broker,Sea View,Installments,Magawish,Basic,2998600.0,51700.0
"4,284,000 EGP",139.0,2.0,2 bathroom,2.0,2025.0,Broker,Garden,Cash or Installments,الحى اللاتبيني فيو,فيو,4284000.0,30820.14
"7,500,000 EGP",127.0,3.0,3 bathroom,1.0,2025.0,Broker,Garden,Installments,مدينتي 127م تشطيب,تشطيب,7500000.0,59055.12
"6,110,000 EGP",164.0,3.0,2 bathroom,2.0,2027.0,Broker,Garden,Cash or Installments,Unknown,"View, Installment",6110000.0,37256.1
"4,606,000 EGP",98.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,قلب الغردقة,Basic,4606000.0,47000.0
"4,200,000 EGP",170.0,3.0,2 bathroom,4.0,2000.0,Broker,Main Street,Cash,شارع أحمد السمان,Basic,4200000.0,24705.88
"11,300,000 EGP",185.0,3.0,3 bathroom,4.0,2025.0,Broker,Main Street,Cash,سنتر فيل,Basic,11300000.0,61081.08
"7,300,000 EGP",75.0,2.0,1 bathroom,3.0,2027.0,Broker,Main Street,Cash or Installments,المستقبل سيتي,تقسيط,7300000.0,97333.33
"7,600,000 EGP",90.0,1.0,1 bathroom,1.0,2025.0,Broker,Main Street,Installments,The Capital Way,Finished,7600000.0,84444.44
"3,500,000 EGP",136.0,3.0,2 bathroom,2.0,2021.0,Broker,Corner,Cash,الحي التالت مدينة,Basic,3500000.0,25735.29
"3,212,000 EGP",73.0,1.0,1 bathroom,1.0,2028.0,Broker,Back,Installments,Magawish,View,3212000.0,44000.0
"3,454,333 EGP",73.0,1.0,1 bathroom,1.0,2028.0,Broker,Back,Installments,The Heart Of,Basic,3454333.0,47319.63
"3,700,000 EGP",128.0,3.0,2 bathroom,2.0,2028.0,Broker,Main Street,Installments,Unknown,Basic,3700000.0,28906.25
"6,500,000 EGP",116.0,3.0,2 bathroom,4.0,2017.0,Broker,Garden,Cash,مدينتي مساحه 116,"فيو, تشطيب",6500000.0,56034.48
"7,000,000 EGP",165.0,2.0,2 bathroom,1.0,2024.0,Broker,Main Street,Cash,Capital Gardens Compound,Garden,7000000.0,42424.24
"18,400,000 EGP",280.0,4.0,4 bathroom,3.0,2025.0,Broker,Main Street,Installments,The Capital Way,Finished,18400000.0,65714.29
"3,366,000 EGP",102.0,2.0,1 bathroom,1.0,2027.0,Broker,Garden,Installments,The Eighth Section,Basic,3366000.0,33000.0
"4,347,000 EGP",69.0,1.0,1 bathroom,1.0,2026.0,Broker,Sea View,Installments,The Heart Of,Sea,4347000.0,63000.0
"2,552,200 EGP",58.0,1.0,1 bathroom,1.0,2028.0,Broker,Back,Installments,Unknown,Basic,2552200.0,44003.45
"3,325,333 EGP",68.0,1.0,1 bathroom,1.0,2028.0,Broker,Back,Installments,Magawish,Basic,3325333.0,48901.96
"7,077,000 EGP",105.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Full Service,Basic,7077000.0,67400.0
"5,630,149 EGP",140.0,3.0,3 bathroom,1.0,2025.0,Broker,Garden,Installments,Mv Park,View,5630149.0,40215.35
"9,200,100 EGP",105.0,2.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,Basic,9200100.0,87620.0
"4,209,000 EGP",133.0,2.0,2 bathroom,3.0,2025.0,Broker,Garden,Installments,Latin City,Super Lux,4209000.0,31646.62
"6,800,000 EGP",180.0,2.0,3 bathroom,1.0,2024.0,Broker,Main Street,Cash,Touristic Second Area,Basic,6800000.0,37777.78
"7,394,420 EGP",94.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,"View, Pool",7394420.0,78664.04
"550,000 EGP",110.0,3.0,1 bathroom,8.0,2025.0,Broker,Side Street,Cash or Installments,Ismail El Fangari,Basic,550000.0,5000.0
"5,250,000 EGP",75.0,1.0,1 bathroom,1.0,2025.0,Broker,Garden,Cash,Village West Compound,Basic,5250000.0,70000.0
"3,030,000 EGP",190.0,3.0,3 bathroom,,,EG-6605258,Other,Cash or Installments,Unknown,Basic,3030000.0,15947.37
"7,310,940 EGP",91.0,2.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,A Premium Resort,Basic,7310940.0,80340.0
"7,077,000 EGP",105.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Basic,7077000.0,67400.0
"2,600,000 EGP",140.0,3.0,1 bathroom,10.0,2016.0,Broker,Side Street,Cash,عين شمس,Basic,2600000.0,18571.43
"8,600,000 EGP",181.0,3.0,3 bathroom,1.0,2025.0,Broker,Pool,Cash,October Plaza Compound,Basic,8600000.0,47513.81
"10,846,000 EGP",187.0,4.0,3 bathroom,7.0,2028.0,Broker,Main Street,Installments,Muruj,Basic,10846000.0,58000.0
"5,500,000 EGP",200.0,3.0,2 bathroom,2.0,2023.0,Broker,Main Street,Cash,Unknown,Basic,5500000.0,27500.0
"8,222,800 EGP",122.0,3.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Modern Resort,Basic,8222800.0,67400.0
"6,200,000 EGP",208.0,3.0,3 bathroom,2.0,2025.0,Broker,Garden,Cash,Unknown,Basic,6200000.0,29807.69
"8,788,000 EGP",169.0,3.0,1 bathroom,1.0,2027.0,Broker,Plaza,Cash or Installments,Muruj,Basic,8788000.0,52000.0
"7,077,000 EGP",105.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Resort Lifestyle,Basic,7077000.0,67400.0
"7,310,940 EGP",91.0,2.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,View,7310940.0,80340.0
"3,000,000 EGP",165.0,3.0,2 bathroom,4.0,2024.0,Broker,Side Street,Cash,El Andalus El,Basic,3000000.0,18181.82
"8,222,800 EGP",122.0,3.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Resort Community,Basic,8222800.0,67400.0
"5,623,800 EGP",91.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Full Service,Basic,5623800.0,61800.0
"7,500,000 EGP",180.0,3.0,3 bathroom,3.0,2025.0,Broker,Main Street,Cash or Installments,Gamal Abd El,Basic,7500000.0,41666.67
"6,720,000 EGP",140.0,3.0,1 bathroom,2.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,6720000.0,48000.0
"10,000,000 EGP",330.0,3.0,3 bathroom,1.0,2020.0,Broker,Main Street,Cash,Shweifat – 330,Basic,10000000.0,30303.03
"8,250,000 EGP",140.0,3.0,2 bathroom,3.0,2018.0,Broker,Main Street,Cash,طريق مدينتي,Basic,8250000.0,58928.57
"16,000,000 EGP",160.0,3.0,3 bathroom,,2026.0,"100,000 EGP/M²",Main Street,Cash or Installments,Unknown,Basic,16000000.0,100000.0
"20,500,000 EGP",260.0,4.0,4 bathroom,3.0,2025.0,Broker,Main Street,Installments,The Capital Way,Finished,20500000.0,78846.15
"10,800,000 EGP",171.0,3.0,3 bathroom,2.0,2025.0,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,10800000.0,63157.89
"7,200,000 EGP",160.0,3.0,3 bathroom,2.0,2029.0,Broker,Main Street,Installments,Unknown,"Park, Installment",7200000.0,45000.0
"2,750,000 EGP",50.0,1.0,1 bathroom,2.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,2750000.0,55000.0
"1,850,000 EGP",95.0,2.0,1 bathroom,2.0,2013.0,Broker,Side Street,Cash,شارع عين شمس,Basic,1850000.0,19473.68
"10,500,000 EGP",167.0,3.0,3 bathroom,3.0,2025.0,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,10500000.0,62874.25
"3,770,000 EGP",125.0,2.0,2 bathroom,2.0,2024.0,Broker,Garden,Cash or Installments,Dejoya 4,Basic,3770000.0,30160.0
"6,157,000 EGP",131.0,3.0,1 bathroom,1.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,6157000.0,47000.0
"3,942,900 EGP",48.0,1.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Garden,3942900.0,82143.75
"10,042,500 EGP",137.0,3.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Garden,10042500.0,73302.92
"2,585,000 EGP",47.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,Unknown,Basic,2585000.0,55000.0
"3,000,000 EGP",120.0,2.0,1 bathroom,2.0,2003.0,Broker,Main Street,Cash,شارع الدكتور حسنين,Basic,3000000.0,25000.0
"9,334,900 EGP",125.0,3.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Garden,9334900.0,74679.2
"5,200,000 EGP",140.0,3.0,3 bathroom,5.0,2020.0,Broker,Other,Cash,شارع لبنان,Basic,5200000.0,37142.86
"4,653,000 EGP",99.0,2.0,1 bathroom,2.0,2027.0,Broker,Pool,Installments,Unknown,Basic,4653000.0,47000.0
"3,600,000 EGP",80.0,1.0,2 bathroom,3.0,2027.0,Broker,Other,Installments,Taj City,Basic,3600000.0,45000.0
"5,200,000 EGP",162.0,3.0,2 bathroom,2.0,2026.0,Broker,Side Street,Installments,الشيخ زايد الحي,Basic,5200000.0,32098.77
"8,054,300 EGP",100.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,Unknown,Garden,8054300.0,80543.0
"5,692,000 EGP",207.0,3.0,2 bathroom,2.0,2025.0,Developer,Garden,Cash or Installments,South Lotus,Basic,5692000.0,27497.58
"9,100,000 EGP",145.0,2.0,2 bathroom,4.0,2025.0,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,9100000.0,62758.62
"6,251,000 EGP",133.0,3.0,1 bathroom,1.0,2027.0,Broker,Main Street,Installments,Hurghada,Basic,6251000.0,47000.0
"8,800,000 EGP",140.0,2.0,2 bathroom,3.0,2025.0,Developer,Garden,Cash or Installments,كمبوند ذا ادرس,Basic,8800000.0,62857.14
"9,500,000 EGP",144.0,2.0,3 bathroom,8.0,2025.0,Broker,Main Street,Cash or Installments,Vinci Compound,Basic,9500000.0,65972.22
"5,556,980 EGP",67.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,Unknown,View,5556980.0,82940.0
"5,639,920 EGP",68.0,1.0,1 bathroom,2.0,2026.0,Broker,Pool,Installments,A Full Service,Basic,5639920.0,82940.0
"8,054,300 EGP",100.0,2.0,1 bathroom,1.0,2026.0,Broker,Pool,Installments,A Full Service,Garden,8054300.0,80543.0
"4,550,000 EGP",78.0,2.0,1 bathroom,1.0,2023.0,Broker,Garden,Installments,Madinaty With Garden,View,4550000.0,58333.33
"9,341,500 EGP",157.0,3.0,3 bathroom,8.0,2026.0,Broker,Garden,Cash or Installments,Scenario Compound,Basic,9341500.0,59500.0
"4,850,000 EGP",130.0,2.0,3 bathroom,5.0,2020.0,Broker,Other,Cash,شارع جامعة الدول,Basic,4850000.0,37307.69
"6,251,000 EGP",133.0,3.0,1 bathroom,1.0,2027.0,Broker,Main Street,Installments,Kawthar,Basic,6251000.0,47000.0
"3,475,100 EGP",170.0,3.0,3 bathroom,1.0,2028.0,Broker,Garden,Cash or Installments,Uptown,Basic,3475100.0,20441.76
"8,544,000 EGP",116.0,2.0,1 bathroom,4.0,2025.0,Broker,Main Street,Cash or Installments,The Brooks Compound,Installment,8544000.0,73655.17
"7,440,000 EGP",168.0,3.0,3 bathroom,4.0,2024.0,Broker,Main Street,Cash or Installments,Taj City On,Installment,7440000.0,44285.71
"5,000,000 EGP",186.0,3.0,3 bathroom,1.0,2022.0,Broker,Garden,Cash,Unknown,Basic,5000000.0,26881.72
"3,400,000 EGP",115.0,2.0,2 bathroom,,2025.0,Broker,Garden,Cash or Installments,Gannah October,Basic,3400000.0,29565.22
"5,500,000 EGP",131.0,2.0,2 bathroom,3.0,2025.0,Broker,Garden,Cash,Shalya,Basic,5500000.0,41984.73
"13,400,000 EGP",170.0,3.0,3 bathroom,1.0,2026.0,Broker,Corner,Installments,Palm Parks Compound,Park,13400000.0,78823.53
"2,035,000 EGP",37.0,1.0,1 bathroom,1.0,2027.0,Broker,Pool,Installments,Hurghada,Basic,2035000.0,55000.0
"6,580,000 EGP",140.0,3.0,1 bathroom,1.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,6580000.0,47000.0
"3,470,000 EGP",170.0,3.0,3 bathroom,2.0,2024.0,Broker,Main Street,Cash or Installments,كمبوند أب تاون,Basic,3470000.0,20411.76
"7,400,000 EGP",171.0,3.0,2 bathroom,2.0,2025.0,Broker,Plaza,Cash,Address East,Finished,7400000.0,43274.85
"20,000,000 EGP",192.0,3.0,3 bathroom,3.0,2020.0,Broker,Main Street,Cash,سبيكترام,Basic,20000000.0,104166.67
"4,848,000 EGP",138.0,3.0,2 bathroom,2.0,2028.0,Broker,Pool,Cash or Installments,The Icon Compound,Installment,4848000.0,35130.43
"11,770,000 EGP",160.0,3.0,,,2025.0,,Garden,Cash or Installments,Shalya,Garden,11770000.0,73562.5
"5,016,000 EGP",88.0,2.0,1 bathroom,4.0,2027.0,Broker,Main Street,Installments,Kawthar,Basic,5016000.0,57000.0
"650,000 EGP",40.0,1.0,1 bathroom,,2020.0,Developer,Side Street,Cash or Installments,Street 31,Basic,650000.0,16250.0
"5,500,000 EGP",190.0,3.0,2 bathroom,7.0,1990.0,Broker,Side Street,Cash,المنيل الروضة 190,نيل,5500000.0,28947.37
"6,500,000 EGP",48.0,1.0,1 bathroom,2.0,2020.0,Broker,Main Street,Cash,North 90Th –,Basic,6500000.0,135416.67
